name	d (m)	v1	v2	angle1 (deg)	angle2 (deg)	trackpoints
a200	120	v130	v239	149	-71	-0.362768,50.826551,0 -0.362462,50.826234,0 -0.362441,50.825954,0 -0.362054,50.825871,0 -0.361995,50.825836,0 -0.361812,50.825797,0
a201	70	v240	v241	-99	84	-0.374511,50.821417,0 -0.374957,50.821372,0 -0.375505,50.821337,0
a202	81	v240	v242	4	-180	-0.374511,50.821417,0 -0.374467,50.821773,0 -0.374463,50.822143,0
a203	49	v240	v243	174	-16	-0.374511,50.821417,0 -0.374467,50.82115,0 -0.374389,50.820982,0
a204	67	v186	v244	-85	88	-0.367373,50.828545,0 -0.367762,50.828566,0 -0.368328,50.828556,0
a205	32	v245	v246	-90	90	-0.361183,50.825754,0 -0.361642,50.825753,0
a206	44	v247	v248	-96	84	-0.364094,50.812168,0 -0.364721,50.812126,0
a207	3	v247	v249	84	-96	-0.364094,50.812168,0 -0.364048,50.812171,0
a208	16	v247	v250	176	-4	-0.364094,50.812168,0 -0.364078,50.812022,0
a209	101	v251	v252	88	-92	-0.372278,50.82848,0 -0.370847,50.828509,0
a210	69	v251	v253	-164	27	-0.372278,50.82848,0 -0.372367,50.828286,0 -0.372667,50.827917,0
a211	37	v251	v254	-4	176	-0.372278,50.82848,0 -0.372317,50.828812,0
a212	47	v255	v256	123	-57	-0.36792,50.83105,0 -0.36736,50.830819,0
a213	58	v257	v258	-10	170	-0.390922,50.814128,0 -0.391062,50.814646,0
a214	112	v257	v259	172	-8	-0.390922,50.814128,0 -0.390704,50.813128,0
a215	100	v257	v260	-87	93	-0.390922,50.814128,0 -0.392339,50.814169,0
a216	172	v257	v190	92	-104	-0.390922,50.814128,0 -0.390636,50.814122,0 -0.390426,50.814119,0 -0.390176,50.814131,0 -0.389683,50.814182,0 -0.389087,50.814243,0 -0.388723,50.814286,0 -0.3885,50.81432,0
a217	85	v261	v262	10	-178	-0.39166,50.824734,0 -0.391622,50.824865,0 -0.39158,50.825496,0
a218	5	v262	v263	-1	179	-0.39158,50.825496,0 -0.391581,50.825541,0
a219	76	v262	v264	79	-101	-0.39158,50.825496,0 -0.390522,50.825626,0
a220	37	v265	v266	85	-132	-0.381817,50.813881,0 -0.381602,50.813892,0 -0.381417,50.81397,0 -0.381351,50.814007,0
